Operator,Using GC?,#Operations,#Threads,Time (ms),Communication (Bytes),Total Rounds
CMP,0,1,1,23.453,94886,33
CMP,0,10,4,21.313,379546,33
CMP,0,100,4,19.821,387752,33
CMP,0,1000,4,26.759,923368,33
CMP,0,10000,4,65.03,11377376,33
CMP,0,100000,4,304.647,87414832,33
ADD,0,1,1,125.572,569987,175
ADD,0,10,4,142.314,2294550,175
ADD,0,100,4,111.559,2834956,175
ADD,0,1000,4,156.45,10763460,175
ADD,0,10000,4,598.827,113695276,175
ADD,0,100000,4,4108.53,1091620640,175
MUL,0,1,1,64.018,288299,91
MUL,0,10,4,54.929,1154914,91
MUL,0,100,4,65.082,1263068,91
MUL,0,1000,4,63.651,3088712,91
MUL,0,10000,4,152.064,32064384,91
MUL,0,100000,4,736.524,318128016,91
DIV,0,1,1,95.688,582616,185
DIV,0,10,4,124.569,2338836,185
DIV,0,100,4,124.379,2804128,185
DIV,0,1000,4,150.817,10050320,185
DIV,0,10000,4,347.104,105152448,185
DIV,0,100000,4,2427.19,1045355712,185
SQRT,0,1,1,108.912,619963,203
SQRT,0,10,4,133.195,2490984,203
SQRT,0,100,4,105.689,3096164,203
SQRT,0,1000,4,169.491,12264716,203
SQRT,0,10000,4,399.529,126968196,203
SQRT,0,100000,4,2562.49,1262333000,203
SIN,0,1,1,390.521,2440234,767
SIN,0,10,4,405.75,9803927,767
SIN,0,100,4,404.763,11664120,767
SIN,0,1000,4,514.054,40783284,767
SIN,0,10000,4,1615.7,433773264,767
SIN,0,100000,4,11753.9,4175396880,767
COS,0,1,1,503.463,2456642,771
COS,0,10,4,434.589,9869559,771
COS,0,100,4,395.252,11730040,771
COS,0,1000,4,495.576,40851892,771
COS,0,10000,4,1600.47,434294832,771
COS,0,100000,4,11382.6,4183593968,771
TAN,0,1,1,658.47,3456509,1095
TAN,0,10,4,577.001,13883758,1095
TAN,0,100,4,599.864,16388900,1095
TAN,0,1000,4,698.815,57465276,1095
TAN,0,10000,4,2207.56,618279828,1095
TAN,0,100000,4,14910.8,5896053712,1095
LOG2,0,1,1,520.172,2615138,807
LOG2,0,10,4,531.692,10523028,807
LOG2,0,100,4,542.654,12917808,807
LOG2,0,1000,4,595.832,48972768,807
LOG2,0,10000,4,1968.85,527117032,807
LOG2,0,100000,4,14938.3,5000348504,807
EXP2,0,1,1,398.736,1828463,577
EXP2,0,10,4,319.023,7362942,577
EXP2,0,100,4,342.286,9208860,577
EXP2,0,1000,4,415.801,35978768,577
EXP2,0,10000,4,1507.71,381272488,577
EXP2,0,100000,4,11560.4,3661898944,577
EXP,0,1,1,428.148,2135538,669
EXP,0,10,4,371.28,8582299,669
EXP,0,100,4,367.574,10186600,669
EXP,0,1000,4,499.461,35297604,669
EXP,0,10000,4,1509.6,381604992,669
EXP,0,100000,4,10990.6,3597964224,669
LN,0,1,1,529.449,2615810,807
LN,0,10,4,459.873,10529748,807
LN,0,100,4,517.628,12985008,807
LN,0,1000,4,587.423,49644768,807
LN,0,10000,4,1909.84,533837032,807
LN,0,100000,4,15280,5067548504,807
ERF,0,1,1,485.577,2370032,751
ERF,0,10,4,422.003,9518800,751
ERF,0,100,4,389.594,11217528,751
ERF,0,1000,4,483.154,38999396,751
ERF,0,10000,4,1521.7,418946108,751
ERF,0,100000,4,10734.2,4004872040,751
CMP,1,1,1,18.368,94886,33
CMP,1,10,4,27.839,379546,33
CMP,1,100,4,28.19,387752,33
CMP,1,1000,4,27.287,923368,33
CMP,1,10000,4,82.327,11377376,33
CMP,1,100000,4,336.43,87414832,33
ADD,1,1,1,76.357,670718,138
ADD,1,10,4,71.387,2713460,138
ADD,1,100,4,81.352,3458808,138
ADD,1,1000,4,103.512,12455164,138
ADD,1,10000,4,334.742,124427804,138
ADD,1,100000,4,2978.55,1358412512,140
MUL,1,1,1,50.567,288299,91
MUL,1,10,4,48.813,1154914,91
MUL,1,100,4,55.964,1263068,91
MUL,1,1000,4,49.096,3088712,91
MUL,1,10000,4,137.013,32064384,91
MUL,1,100000,4,738.512,318128016,91
DIV,1,1,1,94.735,582616,185
DIV,1,10,4,98.925,2338836,185
DIV,1,100,4,110.188,2804128,185
DIV,1,1000,4,119.072,10050320,185
DIV,1,10000,4,350.516,105152448,185
DIV,1,100000,4,2279.71,1045355712,185
SQRT,1,1,1,116.448,619963,203
SQRT,1,10,4,103.369,2490984,203
SQRT,1,100,4,100.429,3096164,203
SQRT,1,1000,4,128.96,12264716,203
SQRT,1,10000,4,374.513,126968196,203
SQRT,1,100000,4,2557.61,1262333000,203
SIN,1,1,1,389.932,2871325,686
SIN,1,10,4,383.621,11562581,686
SIN,1,100,4,363.124,13921540,686
SIN,1,1000,4,465.031,45940748,686
SIN,1,10000,4,1409.68,472380544,686
SIN,1,100000,4,9000.74,4533394992,686
COS,1,1,1,366.536,2887733,690
COS,1,10,4,313.03,11628213,690
COS,1,100,4,336.574,13987460,690
COS,1,1000,4,428.336,46009356,690
COS,1,10000,4,1302.39,472902112,690
COS,1,100000,4,9292.01,4541592080,690
TAN,1,1,1,464.61,4076916,998
TAN,1,10,4,486.264,16405812,998
TAN,1,100,4,476.498,19499136,998
TAN,1,1000,4,593.694,64207220,998
TAN,1,10000,4,1866.12,667228964,998
TAN,1,100000,4,12526.2,6326768080,998
LOG2,1,1,1,386.51,3320307,668
LOG2,1,10,4,345.03,13402774,668
LOG2,1,100,4,357.027,16630196,668
LOG2,1,1000,4,416.553,57517896,668
LOG2,1,10000,4,1402.25,585127576,668
LOG2,1,100000,4,11001.3,5700590232,670
EXP2,1,1,1,288.223,2251829,494
EXP2,1,10,4,273.806,9093234,494
EXP2,1,100,4,263.419,11482452,494
EXP2,1,1000,4,325.867,41299200,494
EXP2,1,10000,4,1129.27,424823400,494
EXP2,1,100000,4,8856.58,4173547648,496
EXP,1,1,1,347.761,2566431,588
EXP,1,10,4,273.029,10339013,588
EXP,1,100,4,290.812,12424604,588
EXP,1,1000,4,398.135,40261068,588
EXP,1,10000,4,1214.2,418272272,588
EXP,1,100000,4,8360.01,3932368032,588
LN,1,1,1,433.623,3320979,668
LN,1,10,4,355.503,13409494,668
LN,1,100,4,407.961,16697396,668
LN,1,1000,4,425.931,58189896,668
LN,1,10000,4,1394.29,591847576,668
LN,1,100000,4,11397.2,5767790232,670
ERF,1,1,1,436.73,2817146,674
ERF,1,10,4,313.127,11339164,674
ERF,1,100,4,375.221,13502592,674
ERF,1,1000,4,400.675,44072180,674
ERF,1,10000,4,1271.52,457000988,674
ERF,1,100000,4,8902.6,4337556104,674
